what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367725126000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367725126593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367725129953
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367725132625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367725133312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367725138265
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367725140437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367725141218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367725143062
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367725144312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367725144781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367725148234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367725149062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367725149515
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367725154906
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367725158484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367725159437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367725165859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367725167265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367725168984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367725171156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1367725215671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1367725249906
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367725270171
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367725273281
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367725282375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367725285375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367725288468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367725290406
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367725291078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367725292734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367725313359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367725314062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367725314062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367725314156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367725366656
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1367725372093
