what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367696678031
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367696678031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367696678203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367696682859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367696684125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367696684125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367696684250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367696685484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367696686859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367696692421
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367696704484
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367696717984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367696718953
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367696727109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1367696732078
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1367696734171
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1367696736640
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367696742656
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367696769843
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1367696771859
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367696775468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1367696784031
