what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unhandled event loop exception",1367679004906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679025031
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679025171
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1367679101890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679130796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679147031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367679149328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1367679160703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679182578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679182703
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367679199609
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367679230640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367679232296
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367679244031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367679262015
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367679263859
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367679269296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1367679270703
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1367679272125
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367679274203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679275843
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679361109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367679371046
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367679375140
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367679379890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1367679381140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367679382484
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1367679383562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367679384328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679387500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679402484
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1367679410218
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1367679410250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679445031
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679471890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679477000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679477015
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679477109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679540984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367679546640
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1367679548515
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367679549421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679552546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679574156
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1367679574171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679578687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679578687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679578796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679585109
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1367679587671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367679601187
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679602531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679602546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679602640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679603750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679605046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679662062
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367679707218
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367679708343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367679715984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367679717937
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367680122328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367680123421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367680128671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367680139343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1367680139359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367680150437
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367680151171
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1367680166000
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367680167125
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367680173031
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1367680176125
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367680179359
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1367680199531
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367680200078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367680209453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367680209453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367680209562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367680276343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367680277687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367680280562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367680285375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367680286046
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367680295843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367680296828
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367680312390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367680341562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367680341703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1367680348500
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1367680351718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367680352515
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1367680357343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367680358156
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367680360609
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367680368671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367680369578
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367680372515
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367680376343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367680385171
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367680385843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367680407625
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367680408312
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367680419937
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1367680422015
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367680422843
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1367680430812
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1367680434062
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367680435250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367680438125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367680467421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367680467859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367680467875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367680469578
